author,geos
Veronique Richard,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Luc Vervisch,"['49.4583,1.06895', '49.4583,1.06895', '49.3852,1.06839', '49.3852,1.06839', '49.3852,1.06839']"
Carlos Levy,"['0,0', '48.78852,2.4437']"
Michele Noailly,"['48.12064,-1.70333', '48.39803,-4.5077', '48.39803,-4.5077', '48.39803,-4.5077', '48.39803,-4.5077', '48.39803,-4.5077']"
Patrick Le Guirriec,"['48.90245,2.21238', '48.39803,-4.5077', '48.39803,-4.5077']"
Francoise Duboeuf,"['0,0', '48.8468,2.34488']"
Evelyne Ferrary,"['48.70997,2.1531', '48.851906,2.340105', '48.851906,2.340105']"
Christine Letrou,"['48.70997,2.1531', '48.6962,6.17634', '48.7132,2.19972', '48.7132,2.19972']"
Claude Jameux,"['0,0', '45.56676,5.9175', '45.56676,5.9175']"
Clair-Florent Schmitt-Bernard,"['43.61583,3.87203', '43.61583,3.87203']"
Philippe Labbe,"['48.12064,-1.70333']"
Philippe Loubaton,"['0,0', '48.6962,6.17634', '48.6962,6.17634']"
Etienne Picard,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Pierre Blanc,"['43.61583,3.87203', '45.56676,5.9175', '44.809966,-0.596578', '44.809966,-0.596578']"
Stanislas Lyonnet,"['0,0', '48.851906,2.340105']"
Xavier Rebillard,"['43.61583,3.87203', '43.61583,3.87203']"
Vincent Danos,"['0,0', '48.851906,2.340105', '48.851906,2.340105']"
Christian Goudineau,"['0,0', '43.2935,5.35781']"
Gerard Milano,"['0,0', '43.2935,5.35781']"
Therese Encrenaz,"['0,0', '48.851304,2.340246']"
Pierre Parlebas,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Francoise Demengel,"['48.70997,2.1531', '49.03889,2.07415', '49.03889,2.07415', '49.03889,2.07415']"
Georges Charnay,"['0,0', '43.56287,1.46597']"
Pierre Bonnet,"['43.60656,1.43712', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367']"
Chantal Mironneau,"['0,0', '44.809966,-0.596578']"
Philippe Dumas,"['0,0', '43.2935,5.35781', '47.7323,7.31485', '43.1369,6.01684']"
Pierre Moeglin,"['45.19159,5.76726', '48.95793,2.34071', '48.95793,2.34071', '48.95793,2.34071']"
Christian Lagarde,"['48.90245,2.21238', '42.6844,2.89854', '42.6844,2.89854', '42.6844,2.89854', '42.6844,2.89854', '42.6844,2.89854', '42.6844,2.89854']"
Isabelle Accoceberry,"['48.851304,2.340246', '44.809966,-0.596578', '44.809966,-0.596578']"
Henri Vial,"['0,0', '43.61583,3.87203']"
Jacqueline Bata Dumas,"['0,0', '45.77056,3.08791']"
Yves Pichon,"['0,0', '48.851304,2.340246']"
Patrick Depecker,"['45.77962,4.86518', '45.783,4.87798', '47.2097,-1.55587', '47.2097,-1.55587']"
Denis Veynante,"['48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531', '48.70997,2.1531']"
Jean-Francois Tanti,"['43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664']"
Vincent Lagente,"['48.851906,2.340105', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298']"
Renaud Sainsaulieu,"['0,0', '48.85412,2.32842']"
Christine Leaute-Labreze,"['44.809966,-0.596578', '44.809966,-0.596578']"
Francois Vandenesch,"['45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Nikolai Stelmakh,"['0,0', '48.851304,2.340246']"
Bernard Lucien Messing,"['0,0', '48.851906,2.340105']"
Joseph Tedghi,"['48.946,2.36213', '48.8274,2.37608', '48.8274,2.37608']"
Ariane Berdal,"['0,0', '48.851906,2.340105']"
Catherine Verdu,"['0,0', '45.783,4.87798']"
Pavel Rosmus,"['0,0', '48.6962,6.17634']"
Sylvie Castet,"['43.56287,1.46597', '43.56287,1.46597']"
Henri Descimon,"['0,0', '43.2935,5.35781']"
Francois David,"['48.851304,2.340246', '48.70997,2.1531']"
Pierre Camille Lacaze,"['0,0', '48.851906,2.340105']"
Alain Sevin,"['0,0', '48.851304,2.340246']"
Michel Billiard,"['0,0', '43.61583,3.87203']"
Denis Kambouchner,"['0,0', '48.90245,2.21238']"
Brigitte Dormont,"['0,0', '48.90245,2.21238', '48.90245,2.21238', '48.85464,2.33785']"
Alexandre Charles Kiss,"['0,0', '48.57872,7.76465']"
Denise Strubel,"['0,0', '43.61583,3.87203']"
Yves Scudeller,"['47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Helene Budzinski,"['0,0', '44.809966,-0.596578', '44.809966,-0.596578']"
Viatcheslav Kharlamov,"['0,0', '48.57872,7.76465']"
Lionel Vandenbulcke,"['0,0', '47.85065,1.93397']"
Jean-Claude Biemont,"['0,0', '47.38376,0.67367']"
Laurent Tassan-Got,"['0,0', '48.70997,2.1531']"
Agnes Fine,"['0,0', '43.57954,1.40235', '43.57954,1.40235']"
LILIANE LANDREAU,"['43.61583,3.87203', '43.61583,3.87203']"
Alain Deschamps,"['0,0', '48.851906,2.340105']"
Jean-Francois Robert,"['0,0', '47.2408,6.02265']"
Jean-Pierre Gourlaouen,"['0,0', '47.2097,-1.55587']"
Caroline Richard,"['0,0', '49.40024,2.800108', '49.40024,2.800108', '49.40024,2.800108']"
Gerald Chaix,"['48.57872,7.76465', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367']"
Michele S. Plaisant,"['0,0', '50.6314,3.07497']"
Alain Buisson,"['48.39803,-4.5077', '49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382']"
Loys Thimonier,"['48.70997,2.1531', '49.87584,2.26446', '49.87584,2.26446']"
Ismael Moya,"['0,0', '48.70997,2.1531', '48.851304,2.340246']"
Pierre Ducimetiere,"['0,0', '48.70997,2.1531']"
Gouri Dhatt,"['0,0', '49.3852,1.06839']"
Stephane Lavigne,"['48.8468,2.34488', '48.70997,2.1531']"
Herve Pingaud,"['43.56287,1.46597', '43.56287,1.46597']"
Eric Delaporte,"['0,0', '43.61583,3.87203', '43.61583,3.87203']"
Christian Cheyrezy,"['48.946,2.36213', '48.946,2.36213']"
Francois Carre,"['48.90245,2.21238', '48.11585,-1.67298', '48.851304,2.340246']"
Agnes Granier,"['45.77962,4.86518', '47.2097,-1.55587', '47.2097,-1.55587']"
Antoine Chaigne,"['0,0', '48.851304,2.340246']"
Antoine Skoulios,"['0,0', '48.57872,7.76465']"
Jean-Michel Rauzier,"['43.61583,3.87203', '43.61583,3.87203']"
Jacques Hinderer,"['0,0', '48.57872,7.76465']"
Bertrand Fritz,"['0,0', '48.57872,7.76465']"
Michele Mallie,"['43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Marc-Henri Stern,"['0,0', '48.851906,2.340105']"
Claude Guimier,"['50.6314,3.07497', '49.18884,-0.36382', '49.18884,-0.36382']"
olivier pendereau,"['0,0', '48.851906,2.340105']"
Marie Meister,"['0,0', '48.57872,7.76465', '48.57872,7.76465']"
Roland Jouvent,"['0,0', '48.851304,2.340246']"
Yves Bertrand,"['45.77962,4.86518', '48.57872,7.76465', '46.58596,0.34601', '48.851304,2.340246']"
Michel Dreux,"['0,0', '47.85065,1.93397', '47.85065,1.93397']"
Jean-Pierre Frangi,"['43.56287,1.46597', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '49.3852,1.06839', '48.851906,2.340105']"
PASCAL THOMAS,"['43.2935,5.35781', '43.56287,1.46597']"
Francis Beck,"['48.57872,7.76465', '48.57872,7.76465']"
Henri Boyer,"['43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924']"
Serge Timsit,"['48.851304,2.340246', '43.61583,3.87203', '48.39803,-4.5077']"
Georges Wipff,"['0,0', '48.57872,7.76465']"
Christophe Chaillou,"['48.851304,2.340246', '50.6314,3.07497']"
Frederic Cuisinier,"['48.57872,7.76465', '48.57872,7.76465', '43.61583,3.87203', '43.61583,3.87203']"
Pascal Perney,"['43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Serge Rambour,"['0,0', '50.6314,3.07497']"
Jean-Paul Cristol,"['43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.2935,5.35781', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Jozo Delic,"['48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
MOHAMMED CHBICHEB,"['47.478,-0.548273', '43.61583,3.87203']"
Patrick Alnot,"['48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Daniel Coste,"['48.946,2.36213', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Horacio Vaggione,"['0,0', '48.946,2.36213']"
Patrick Joly,"['0,0', '48.8411,2.58822']"
Christine Thisse,"['0,0', '48.57872,7.76465']"
Bernard Thierry,"['48.70997,2.1531', '48.57872,7.76465', '48.57872,7.76465', '48.57872,7.76465']"
Frank Curot,"['48.8468,2.34488', '43.63279,3.86924', '43.63279,3.86924']"
Pierre Schaaf,"['0,0', '48.57872,7.76465', '48.57872,7.76465']"
Arnaud Ferry,"['48.851906,2.340105', '48.851906,2.340105', '48.851304,2.340246']"
Bruno Kieffer,"['0,0', '48.57872,7.76465']"
Patricia Taillandier,"['43.56287,1.46597', '43.56287,1.46597']"
Louis de Bonis,"['0,0', '46.58596,0.34601']"
Thierry Huguet,"['0,0', '43.56287,1.46597']"
Maurice Renard,"['0,0', '48.851304,2.340246']"
Didier Lacombe,"['44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578']"
Jean-Michel Siwak,"['0,0', '50.6314,3.07497']"
Geraud de Geouffre de La Pradelle,"['0,0', '48.90245,2.21238']"
Nadine Tournois,"['0,0', '43.71693,7.26664']"
Jean-Francois Renucci,"['43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '43.71693,7.26664', '42.30041,9.15324']"
Lionel Cazin,"['0,0', '49.4583,1.06895']"
Gerhard Heinzmann,"['0,0', '48.6962,6.17634']"
Jean-Claude Combret,"['0,0', '49.4583,1.06895']"
Solange Montagne-Villette,"['48.8468,2.34488', '46.58596,0.34601', '46.58596,0.34601']"
Michel Boutillier,"['47.85065,1.93397', '48.62425,2.42738', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Olivier Merle,"['0,0', '45.77056,3.08791']"
Jacques Gleyse,"['48.90245,2.21238', '43.61583,3.87203', '43.61583,3.87203', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924']"
Jacques-Andre Bartoli,"['0,0', '43.2935,5.35781']"
Joel Galin,"['0,0', '49.18884,-0.36382']"
Xavier Delcros,"['0,0', '48.70997,2.1531']"
Philippe Chiaverini,"['42.30041,9.15324', '45.747027,4.860547']"
Francis Guinle,"['48.851906,2.340105', '45.7492,4.83714']"
Jean-Frederic Brun,"['43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Georges Periquet,"['0,0', '47.38376,0.67367']"
Michelle Biget,"['0,0', '47.38376,0.67367']"
Jean-Claude Jumas,"['0,0', '43.61583,3.87203']"
Jean-Pierre Lavaud,"['48.851304,2.340246', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497']"
Nicole Pigeot,"['0,0', '48.8468,2.34488']"
Yves Sassier,"['0,0', '49.4583,1.06895']"
Loic Pottier,"['48.57872,7.76465', '43.71693,7.26664']"
Hassan Emamirad,"['0,0', '46.58596,0.34601']"
Marc Deschamps,"['0,0', '44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578']"
Herve Philippe,"['48.57872,7.76465', '48.70997,2.1531', '48.851304,2.340246']"
Raymond A. Marie,"['0,0', '48.1216,-1.63297']"
Francois Laroque,"['0,0', '43.63279,3.86924', '48.8489,2.34313']"
Jean-Paul Villain,"['43.1369,6.01684', '48.70997,2.1531', '47.85065,1.93397']"
Nicole Dubois,"['45.19159,5.76726', '45.77056,3.08791', '45.77056,3.08791', '48.6962,6.17634', '48.6962,6.17634']"
Olivier Chantraine,"['0,0', '50.6314,3.07497']"
Georges Durry,"['0,0', '48.8468,2.34488']"
Jacques L. Leroy,"['0,0', '48.6962,6.17634']"
Maryvonne Le Berre,"['0,0', '47.2408,6.02265']"
Ali Smida,"['49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382', '48.95793,2.34071', '49.4583,1.06895', '49.18884,-0.36382', '49.18884,-0.36382', '48.95793,2.34071']"
Xavier Carton,"['48.851304,2.340246', '43.2935,5.35781', '48.39803,-4.5077', '48.39803,-4.5077']"
Jean-Claude Moreteau,"['48.70997,2.1531', '48.6962,6.17634', '48.6962,6.17634']"
Pierre Muller,"['43.2935,5.35781', '48.85412,2.32842', '43.57954,1.40235', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842', '48.85412,2.32842']"
Michel Louvel,"['0,0', '49.18884,-0.36382']"
Jean-Olivier Hairault,"['48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Chantal Blayo,"['0,0', '44.809966,-0.596578']"
Marc Cote,"['0,0', '43.2935,5.35781']"
Surendar Kumar Marya,"['0,0', '47.2097,-1.55587']"
Hubert Jayet,"['46.58596,0.34601', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '48.85412,2.32842']"
Artur Scherf,"['0,0', '48.851906,2.340105', '48.851906,2.340105']"
Denis Pelisson,"['45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Nathalie Gontard,"['0,0', '43.61583,3.87203', '43.61583,3.87203']"
Alain Gauthier,"['48.7132,2.19972', '50.6314,3.07497']"
Francoise Argoul,"['0,0', '44.809966,-0.596578']"
Jacqueline de La Fontinelle,"['0,0', '48.8489,2.34313']"
Bernard Vandermeersch,"['0,0', '44.809966,-0.596578', '44.809966,-0.596578']"
Jean Boucher,"['0,0', '48.39803,-4.5077']"
Jean-Luc Le Quere,"['0,0', '47.31274,5.06637']"
Daniel John Hirst,"['43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Yves Dupont,"['49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382', '49.18884,-0.36382']"
Jean-Louis Viovy,"['0,0', '48.851906,2.340105']"
Jean-Louis Reyss,"['0,0', '48.851304,2.340246']"
Camille Mansour,"['48.8468,2.34488', '48.8468,2.34488']"
Jacques Walter,"['48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634']"
Jacques Verdu,"['0,0', '48.83357,2.35831']"
Bernard Kloareg,"['0,0', '48.11585,-1.67298']"
Claude Rigault,"['0,0', '48.7132,2.19972']"
Frederic Bourquin,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.8411,2.58822']"
Patrick Sauzet,"['48.946,2.36213', '43.63279,3.86924', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Mohammed M'Saad,"['0,0', '49.18884,-0.36382', '49.18884,-0.36382']"
Alain Dejean,"['0,0', '48.95793,2.34071']"
Bernard Sibaud,"['48.8468,2.34488', '48.6962,6.17634', '48.6962,6.17634']"
Vincent Perrichon,"['0,0', '45.77962,4.86518']"
DOMINIQUE BARUCH,"['0,0', '48.70997,2.1531']"
Rene Favier,"['45.7492,4.83714', '45.19159,5.76726']"
Jean-Pierre Le Pichon,"['0,0', '48.11585,-1.67298']"
Alain Fouchard,"['47.2408,6.02265', '45.19159,5.76726']"
Christine Errard,"['48.95793,2.34071', '47.38376,0.67367']"
Andre Mezin,"['48.6962,6.17634', '48.6962,6.17634']"
Philippe Langlet,"['0,0', '48.851906,2.340105']"
Dominique Taddei,"['0,0', '48.95793,2.34071']"
Jacques Luisetti,"['0,0', '48.11585,-1.67298']"
Geraldine Schmidt,"['48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.6962,6.17634', '48.8468,2.34488', '48.6962,6.17634', '48.6962,6.17634', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Isabelle Guerrero,"['43.61583,3.87203', '43.2935,5.35781', '43.61583,3.87203']"
YANNS MICKALAKIS,"['0,0', '48.851304,2.340246']"
Sem Saeland,"['0,0', '45.77962,4.86518']"
Jacques Jupille,"['0,0', '48.70997,2.1531']"
Gilles Thibault,"['47.38376,0.67367', '47.38376,0.67367', '47.38376,0.67367']"
Marie-Jose Vilarem,"['0,0', '43.61583,3.87203']"
Didier Gruson,"['44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578']"
Philippe Lejeune,"['0,0', '48.851906,2.340105']"
Alfred Hirn,"['0,0', '48.851906,2.340105', '49.3852,1.06839']"
STEPHEN TAIT,"['0,0', '48.851906,2.340105']"
Pierre Plateau,"['48.70997,2.1531', '48.71317,2.21022']"
Jean-Pierre Toutant,"['48.851906,2.340105', '43.61583,3.87203']"
Sylvain Richard,"['47.38376,0.67367', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Georges Calas,"['0,0', '48.851906,2.340105']"
Alberto-Luis Epstein,"['45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Francois Guery,"['48.851906,2.340105', '45.747027,4.860547', '45.747027,4.860547', '45.747027,4.860547', '45.747027,4.860547', '45.747027,4.860547', '45.747027,4.860547', '48.57872,7.76465']"
Pascal Louvet,"['45.19159,5.76726', '45.19159,5.76726', '45.19159,5.76726', '45.19159,5.76726', '45.19159,5.76726', '45.19159,5.76726', '45.19159,5.76726']"
Thierry Jolicoeur,"['0,0', '48.71317,2.21022']"
Brigitte Feuillet-Liger,"['0,0', '48.11585,-1.67298']"
Annie Rodolakis,"['0,0', '47.38376,0.67367']"
Annie Magnan,"['43.71693,7.26664', '45.7492,4.83714']"
Horatia Muir Watt,"['0,0', '48.8468,2.34488', '48.8468,2.34488']"
Jean Ravez,"['0,0', '44.809966,-0.596578']"
Catherine Cheze,"['44.809966,-0.596578', '44.809966,-0.596578', '44.809966,-0.596578']"
Francoise Michel,"['0,0', '43.56287,1.46597']"
Jean-Louis Guebourg,"['48.8468,2.34488', '-20.9019,55.4843', '-20.9019,55.4843', '-20.9019,55.4843', '-20.9019,55.4843', '-20.9019,55.4843', '-20.9019,55.4843', '-20.9019,55.4843']"
Robert Lesclaux,"['0,0', '44.809966,-0.596578']"
Roland Gori,"['0,0', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Philippe Poujeol,"['0,0', '43.71693,7.26664']"
Stephane Pierre-Caps,"['0,0', '48.6962,6.17634']"
Jacques Citerne,"['0,0', '48.1216,-1.63297']"
Joelle Farchy,"['48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Philippe Corne,"['43.61583,3.87203', '43.61583,3.87203']"
Annaik Quemard,"['43.56287,1.46597', '43.56287,1.46597', '43.56287,1.46597']"
Fabienne Poncin-Epaillard,"['48.0148,0.159251', '48.0148,0.159251']"
Alain Molinari,"['0,0', '48.6962,6.17634']"
Patrick Vaudon,"['45.8263,1.25917', '45.8263,1.25917', '45.8263,1.25917']"
Josiane Jouet,"['0,0', '48.8468,2.34488']"
Daniel Delbreil,"['48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Jacques-Alain Petit,"['0,0', '43.56287,1.46597']"
Robert Bouchard,"['45.19159,5.76726', '45.7492,4.83714']"
Christelle Marlin,"['48.70997,2.1531', '48.70997,2.1531']"
Thierry Colin,"['48.6962,6.17634', '44.809966,-0.596578', '44.809966,-0.596578']"
Jules Nyssen,"['43.2935,5.35781', '45.42472,4.39264', '43.2935,5.35781']"
Michel Berges,"['43.60656,1.43712', '44.809966,-0.596578', '43.60656,1.43712', '43.60656,1.43712']"
Frederic Dubois,"['45.42472,4.39264', '47.2097,-1.55587', '45.8263,1.25917']"
Jean-Claude Allain,"['0,0', '48.8468,2.34488']"
Jean-Pierre Sarrazac,"['0,0', '48.8489,2.34313']"
Francois Couraud,"['0,0', '43.2935,5.35781']"
Dominique Briquel,"['0,0', '48.851304,2.340246']"
Francis Megraud,"['0,0', '44.809966,-0.596578']"
Christian Pichot,"['0,0', '45.77962,4.86518']"
Yolande Richard,"['0,0', '48.70997,2.1531']"
Claude Duchamp,"['45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518', '45.77962,4.86518']"
Jacques Durand,"['43.56287,1.46597', '43.57954,1.40235', '43.57954,1.40235', '43.57954,1.40235']"
Francois Delahaye,"['49.87584,2.26446', '45.77962,4.86518']"
Jean Bourdon,"['47.31274,5.06637', '47.31274,5.06637']"
Annie Bartoli,"['0,0', '43.60656,1.43712']"
Daniel Commenges,"['0,0', '44.809966,-0.596578']"
Alain Tabbagh,"['0,0', '48.851304,2.340246']"
Jean Le Bihan,"['0,0', '48.39803,-4.5077']"
Gilbert Merlio,"['0,0', '48.851304,2.340246']"
Jean Lefebvre,"['48.946,2.36213', '50.6314,3.07497', '50.6314,3.07497']"
Dominique Gasquet,"['48.6962,6.17634', '48.6962,6.17634', '45.56676,5.9175']"
S. Elmaleh,"['0,0', '43.61583,3.87203']"
Philippe Castel,"['48.851906,2.340105', '47.31274,5.06637', '47.31274,5.06637', '47.31274,5.06637', '47.31274,5.06637']"
Francois Eymard-Duvernay,"['48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238', '48.90245,2.21238']"
Jacques Palard,"['0,0', '44.809966,-0.596578']"
Nicole Boulestreau,"['0,0', '48.90245,2.21238']"
Adel Razek,"['0,0', '48.70997,2.1531']"
Omar Merabet,"['45.783,4.87798', '45.783,4.87798']"
Agnes Drochon,"['49.40024,2.800108', '49.40024,2.800108']"
Bertrand Tavitian,"['0,0', '48.851906,2.340105']"
Jean-Claude Florent,"['0,0', '48.851906,2.340105']"
Laurence Lequen,"['44.809966,-0.596578', '44.809966,-0.596578']"
Francois Dieu,"['43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712', '43.60656,1.43712']"
Jean-Ariel Bronstein,"['44.809966,-0.596578', '44.809966,-0.596578']"
Alain Chiavelli,"['0,0', '43.71693,7.26664']"
ROGER MARTIN,"['0,0', '43.2935,5.35781']"
Michel Marie,"['0,0', '48.8489,2.34313', '48.8489,2.34313']"
Michele Bertrand,"['0,0', '43.2935,5.35781']"
Francois Semjen,"['44.809966,-0.596578', '44.809966,-0.596578']"
Henri Meloni,"['0,0', '43.95005,4.81789']"
Pascal Besnard,"['0,0', '48.11585,-1.67298']"
Jean-Charles Guyomarc'h,"['0,0', '48.11585,-1.67298']"
Didier Bernache-Assollant,"['0,0', '45.8263,1.25917']"
Herve Quintin,"['48.851304,2.340246', '48.12064,-1.70333', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Yves Gervais,"['0,0', '46.58596,0.34601']"
Thomas Gomez,"['0,0', '48.90245,2.21238', '48.90245,2.21238']"
Bernard Botiveau,"['43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Jean-Claude Blachere,"['48.851304,2.340246', '43.63279,3.86924']"
Pierre Frankhauser,"['48.8468,2.34488', '47.2408,6.02265', '47.2408,6.02265', '47.2408,6.02265', '47.2408,6.02265', '47.2408,6.02265']"
Antoine Avignon,"['43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Pierre Dos Santos,"['0,0', '44.809966,-0.596578']"
Yves Boirie,"['0,0', '44.809966,-0.596578']"
Arnauld Pierre,"['48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Amaria Baghdadli,"['43.61583,3.87203', '43.61583,3.87203', '43.63279,3.86924']"
Elisabeth Soulier-Detis,"['48.8489,2.34313', '43.63279,3.86924', '43.63279,3.86924', '43.63279,3.86924']"
Christine Biron-Andreani,"['43.61583,3.87203', '43.61583,3.87203']"
Magid Ali Bouacha,"['48.851906,2.340105', '47.31274,5.06637']"
Michel Pousson,"['49.40024,2.800108', '47.31274,5.06637']"
Bernard Moyen,"['0,0', '45.77962,4.86518']"
Daniel Henry,"['45.77962,4.86518']"
Helene Roux-de Balmann,"['0,0', '43.56287,1.46597']"
Catherine Remblier-Dejean,"['46.58596,0.34601', '46.58596,0.34601']"
Jean-Luc Daridon,"['0,0', '43.31372,-0.36509']"
Colette Fabrigoule,"['0,0', '44.809966,-0.596578']"
Gilles Lalmanach,"['0,0', '47.38376,0.67367']"
Jean-Louis Guyader,"['0,0', '45.783,4.87798', '45.783,4.87798', '45.783,4.87798', '45.783,4.87798']"
Pierre Conflant,"['50.6314,3.07497', '50.6314,3.07497']"
Pierre Macherey,"['48.8468,2.34488', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497', '50.6314,3.07497']"
Michel Merle,"['0,0', '44.809966,-0.596578']"
Jean-Louis Bergel,"['0,0', '43.2935,5.35781', '43.2935,5.35781']"
Jean-Pierre Prenel,"['0,0', '47.2408,6.02265']"
Luis Stinus,"['0,0', '44.809966,-0.596578']"
Manuel Tunon de Lara,"['0,0', '44.809966,-0.596578']"
CLAUDE GENOT,"['0,0', '48.62425,2.42738']"
Salomon Askenazy,"['0,0', '43.56287,1.46597']"
Pierre Batteau,"['0,0', '43.2935,5.35781', '43.2935,5.35781', '43.2935,5.35781']"
Etienne Douat,"['48.851906,2.340105', '48.11585,-1.67298', '48.11585,-1.67298', '48.11585,-1.67298', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203', '43.61583,3.87203']"
Claude Caitucoli,"['0,0', '49.4583,1.06895']"
Helmuth Cremer,"['0,0', '43.60656,1.43712']"
Franck Portier,"['48.8468,2.34488', '49.4583,1.06895', '43.60656,1.43712', '43.60656,1.43712']"
