author,geos
Denis Baron,"['48.70997,2.1531', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587', '47.2097,-1.55587']"
Michel Maffesoli,"['0,0', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105', '48.851906,2.340105']"
Michel Meslin,"['0,0', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246', '48.851304,2.340246']"
Pierre Thillet,"['48.90245,2.21238', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
Gaston Berthier,"['0,0', '48.70997,2.1531']"
Colette Caillat,"['0,0', '48.8489,2.34313']"
Guy Beaujouan,"['0,0', '48.90245,2.21238']"
Lucienne Gouguenheim,"['0,0', '48.70997,2.1531']"
Jacques Morel,"['43.61583,3.87203', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313', '48.8489,2.34313']"
Helene Vedrine,"['48.851304,2.340246', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488', '48.8468,2.34488']"
