Académie1,Académie2,Nom,long1,lat1,long2,lat2
Limoges,Nantes,2,2,2,2,2
Limoges,Nice,3,3,3,3,3
Limoges,Paris,3,3,3,3,3
Limoges,Poitiers,3,3,3,3,3
Limoges,Rennes,1,1,1,1,1
Limoges,Toulouse,2,2,2,2,2
Limoges,Versailles,2,2,2,2,2
Lyon,Aix-Marseille,21,21,21,21,21
Lyon,Amiens,5,5,5,5,5
Lyon,Besançon,6,6,6,6,6
Lyon,Bordeaux,19,19,19,19,19
Lyon,Caen,6,6,6,6,6
Lyon,Clermont-Ferrand,17,17,17,17,17
Lyon,Créteil,16,16,16,16,16
Lyon,Dijon,10,10,10,10,10
Lyon,Grenoble,7,7,7,7,7
Lyon,Lille,16,16,16,16,16
Lyon,Limoges,2,2,2,2,2
Lyon,Lyon,290,290,290,290,290
Lyon,Montpellier,20,20,20,20,20
Lyon,Nancy-Metz,15,15,15,15,15
Lyon,Nantes,18,18,18,18,18
Lyon,Nice,7,7,7,7,7
Lyon,Orléans-Tours,10,10,10,10,10
Lyon,Paris,77,77,77,77,77
Lyon,Poitiers,5,5,5,5,5
Lyon,Rennes,11,11,11,11,11
Lyon,Rouen,2,2,2,2,2
Lyon,Strasbourg,135,135,135,135,135
Lyon,Toulouse,26,26,26,26,26
Lyon,Versailles,39,39,39,39,39
Montpellier,Aix-Marseille,20,20,20,20,20
Montpellier,Amiens,2,2,2,2,2
Montpellier,Besançon,2,2,2,2,2
Montpellier,Bordeaux,17,17,17,17,17
Montpellier,Caen,3,3,3,3,3
Montpellier,Clermont-Ferrand,9,9,9,9,9
Montpellier,Créteil,4,4,4,4,4
Montpellier,Dijon,5,5,5,5,5
Montpellier,Grenoble,7,7,7,7,7
Montpellier,Lille,7,7,7,7,7
Montpellier,Lyon,17,17,17,17,17
Montpellier,Montpellier,228,228,228,228,228
Montpellier,Nancy-Metz,8,8,8,8,8
Montpellier,Nantes,11,11,11,11,11
Montpellier,Nice,8,8,8,8,8
Montpellier,Orléans-Tours,9,9,9,9,9
Montpellier,Paris,43,43,43,43,43
Montpellier,Poitiers,4,4,4,4,4
Montpellier,Rennes,9,9,9,9,9
Montpellier,Rouen,6,6,6,6,6
Montpellier,Strasbourg,15,15,15,15,15
Montpellier,Toulouse,21,21,21,21,21
Montpellier,Versailles,25,25,25,25,25
