"Universite2","Universite1","Nom","Annee1","Annee2","Lat1","Long1","Lat2","Long2"
"Aix-Marseille","Aix-Marseille 2","Stephane Zaffran",1997,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Strasbourg","Christophe Pittet",2014,2014,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Daniel Parzy",2000,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Pascal Taranto",1999,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 7","Bernard Pegourie",1985,2013,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Jean-Raymond Fanlo",1990,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Xavier Philippe",1989,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 4","Nathalie Vanfasse",2001,2017,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Paris 1","Martine Lapied",1993,2013,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Veronique Cohen Donsimoni",1994,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Marie-Joelle Garraud-Mozziconacci",2001,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Ecully, Ecole centrale de Lyon","Mathieu Abel",2001,2013,45.78299,4.76927,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Elodie Gavin-Millan",2000,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 1","Philippe Aldrin",2001,2017,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille","Paris 8","Joelle Zask",1998,2016,48.946,2.36213,43.2935,5.35781
"Aix-Marseille","Paris 10","Elisabeth Dorier-Apprill",1993,2012,48.90245,2.21238,43.2935,5.35781
"Aix-Marseille","Compiegne","Remy Michel",2006,2018,49.40024,2.800108,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Dominique Fernandez Bonet",1999,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Serge Amabile",1997,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Christophe Bernard",2009,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Joseph Ciccolini",2000,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Lyon 1","Fabrice Guillaume",2003,2018,45.77962,4.86518,43.2935,5.35781
"Aix-Marseille","Paris 3","Marc Daniel",2012,2013,48.8489,2.34313,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Christine Esclapez",1992,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 4","Christine Orobitg",1994,2016,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Fabien Girandola",1994,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Dijon","Vincent Moron",1993,2012,47.31274,5.06637,43.2935,5.35781
"Aix-Marseille","Universite Louis Pasteur (Strasbourg)","Hubert Stahn",1990,2013,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille","Nice","Denis Burgarella",1987,2016,43.71693,7.26664,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Antoine Giovanni",1998,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Pierre-Emmanuel Morange",2000,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 7","Alexis Nasr",1996,2015,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Strasbourg","Christophe Muller",2013,2013,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Andre Not",1986,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Universite Louis Pasteur (Strasbourg)","Pascale Monier Garbet",1997,2013,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Jean-Yves Roussey",1989,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Elisabeth Krecke",1993,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Anthony Levasseur",2005,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Sylvie Llosa",1996,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Sylvie Avignon",1991,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Toulouse 3","Gabriella Crocco",1993,2016,43.56287,1.46597,43.2935,5.35781
"Aix-Marseille","Paris 11","Gilles Cartry",1999,2018,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille","Paris 6","Juliette Lamarche",1999,2013,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Julien Mancini",2008,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Marc Griesheimer",1990,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Montpellier 3","Rajaa Stitou",1999,2017,43.63279,3.86924,43.2935,5.35781
"Aix-Marseille","Toulouse 2","Catherine Mazauric",2004,2017,43.57954,1.40235,43.2935,5.35781
"Aix-Marseille","Paris 7","Francois Leulier",2003,2012,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Gilbert Bougi",2003,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Francoise Dignat-George",1992,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Herve Isar",1993,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Mariane Domeizel",1992,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Sebastien Darras",2001,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Tours","Pierre Fournier",2011,2017,47.38376,0.67367,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Stephanie Gentile",2004,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Anne Barlier",1998,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 4","Jean-Christophe Cavallin",1998,2018,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Chatenay-Malabry, Ecole centrale de Paris","Roland Sabot",1996,2015,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Regis Costello",1994,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Universite Louis Pasteur (Strasbourg)","Vincent Pages",2003,2017,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Eric Ghigo",1989,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Anne-Marie Francois-Bellan",1988,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Isabelle Arnaud-Grossi",1998,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Philippe Colson",2005,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","David Bosco",2005,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Lille 1","Christelle Lecourt",2000,2017,50.6314,3.07497,43.2935,5.35781
"Aix-Marseille","Universite Marc Bloch (Strasbourg)","Francois Hamel",1993,2018,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille","Paris 7","Lucilla Benedetti",1999,2017,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille","Tours","Bruno Michel",2009,2018,47.38376,0.67367,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Remi Charrel",1992,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 6","Maxime Nicolas",1997,2014,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Pierre Le Coz",2003,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Lille 2","Olivier Leroy",2005,2012,50.6314,3.07497,43.2935,5.35781
"Aix-Marseille","Lille 2","Nicolas Simon",2010,2012,50.6314,3.07497,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Colette Faucher",1991,2018,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Cheryl Frenck-Mestre",1989,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Rome Voulhoux",2000,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Vandoeuvre-les-Nancy, INPL","Olivier Boutin",1999,2015,48.6962,6.17634,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Marc Bartoli",1998,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 3","Carlos Cardoso",1998,2012,48.8489,2.34313,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Sandrine Henri",1998,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Philippe Marsal",2002,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Jacques Ginestie",1992,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Xavier Agostinelli",1993,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Chantal Iobbi-Nivol",1989,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Jean-Marie Guillon",1989,2014,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 9","Maxime Hauray",2004,2017,48.85464,2.33785,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Isabelle Barriere-Brousse",1987,2015,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 2","Marie-Claude Lagouanelle-Simeoni",1994,2012,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Nancy 1","Nicolas Ferre",2001,2018,48.6962,6.17634,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Monique De Mattia",1997,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 3","Olivier Roques",1999,2017,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille","Paris 11","Herve Barthelemy",1996,2013,48.70997,2.1531,43.2935,5.35781
"Aix-Marseille","Aix-Marseille 1","Ali Bensaad",1999,2013,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille 1","Lyon 1","El Hassan Youssfi",1986,1998,45.77962,4.86518,43.2935,5.35781
"Aix-Marseille 1","Paris 7","Anne Monod",1997,2005,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille 1","Toulouse 2","Jean Vivies",1986,2008,43.57954,1.40235,43.2935,5.35781
"Aix-Marseille 1","Paris 1","Catherine Virlouvet",1986,2006,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille 1","Paris 8","Sonia Branca-Rosoff",1987,1995,48.946,2.36213,43.2935,5.35781
"Aix-Marseille 1","Universite Pierre Mendes France (Grenoble)","Alonso Tordesillas",1987,2011,45.19159,5.76726,43.2935,5.35781
"Aix-Marseille 1","Paris 6","Emmanuel Villermaux",1993,2011,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 1","Paris 13","Michele Benhaim",1996,2011,48.95793,2.34071,43.2935,5.35781
"Aix-Marseille 1","Perpignan","Dante Barrientos Tecun",1994,2011,42.6844,2.89854,43.2935,5.35781
"Aix-Marseille 1","Universite Louis Pasteur (Strasbourg)","Marc Michel",2005,2004,48.57872,7.76465,43.2935,5.35781
"Aix-Marseille 1","Aix-Marseille 2","Valerie Aghababian",1998,2010,43.2935,5.35781,43.2935,5.35781
"Aix-Marseille 1","Paris 6","Bernard Cousin",1987,1993,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 1","Paris 1","Claude Massu",1987,1997,48.8468,2.34488,43.2935,5.35781
"Aix-Marseille 1","Toulouse 1","Olivier Thomas",1999,1999,43.60656,1.43712,43.2935,5.35781
"Aix-Marseille 1","Paris 5","Jonathan Grainger",1986,2001,48.851906,2.340105,43.2935,5.35781
"Aix-Marseille 1","Paris 10","Marie-Christine Hubert",1997,2001,48.90245,2.21238,43.2935,5.35781
"Aix-Marseille 1","Paris 4","Alain Mercier",2001,2008,48.851304,2.340246,43.2935,5.35781
"Aix-Marseille 1","Toulouse 2","Marie-Jean Sauret",1989,2009,43.57954,1.40235,43.2935,5.35781
"Aix-Marseille 1","Palaiseau, Ecole polytechnique","Olivier Pouliquen",1993,2011,48.71317,2.21022,43.2935,5.35781
"Aix-Marseille 1","Paris 3","Pierre Larcher",1996,2000,48.8489,2.34313,43.2935,5.35781
