"Nom","Universite1","Universite2","Annee1","Annee2"
"Hugo Barbier","Aix-Marseille 3","Aix-Marseille",2009,2015
"Hugues Bodiguel","Paris 6","Bordeaux",2006,2016
"Hugues Chate","Paris 6","Universite Paris-Saclay (ComUE)",1989,2017
"Hugues de Rocquigny","Paris 5","Strasbourg",1993,2009
"Hugues de The","Paris 6","Paris 7",1990,1999
"Hugues Delorme","Paris 7","Institut de physique du globe (Paris)",1994,1998
"Hugues Gascan","Nantes","Angers",1988,2010
"Hugues Hellio","Paris 2","Artois",2005,2014
"Hugues Richard","Aix-Marseille 2","Nancy 2",2005,2004
"Human Rezaei","Paris, Museum national d'histoire naturelle","Paris 7",2001,2013
"Huy Dien Pham","Paris 6","Paris 5",1987,1988
"Ian Vickridge","Paris 7","Paris 6",1990,2016
"Ioana Gabriela Manolescu Goujot","Versailles-St Quentin en Yvelines","Paris 11",2001,2012
"Irini Tsamadou-Jacoberger","Paris 7","Strasbourg",1995,2009
"Irmtraud Behr","Paris 4","Paris 3",1989,2009
"Isabel Desmet","Paris 13","Paris 8",1996,2013
"Isabelle Accoceberry","Paris 6","Bordeaux 2",2001,2000
"Isabelle Andre","Paris 5","Toulouse, INSA",1994,2015
"Isabelle Arnaud-Grossi","Aix-Marseille 3","Aix-Marseille",1998,2015
"Isabelle Aubineau-Laniece","Paris 11","Universite Paris-Saclay (ComUE)",1997,2017
"Isabelle Baldi","Bordeaux 2","Bordeaux",1995,2016
"Isabelle Barriere-Brousse","Aix-Marseille 3","Aix-Marseille",1987,2015
"Isabelle Barth","Bordeaux 3","Strasbourg",1998,2012
"Isabelle Blondiaux","Universite de Marne-la-Vallee","Amiens",2007,1992
"Isabelle Boehm","Paris 4","Lyon 2",1996,2013
"Isabelle Charpentier","Amiens","Universite de Lorraine",1999,2012
"Isabelle Chevallier","Paris 11","Clermont-Ferrand 2",2002,2008
"Isabelle Collin-Lachaud","Tours","Lille 2",2003,2018
"Isabelle Dajoz","Paris 11","Paris 6",1991,2006
"Isabelle Daniel","Lyon 1","Lyon, Ecole normale superieure",1995,2012
"Isabelle Denis","Paris 4","Universite Paris-Saclay (ComUE)",2012,2017
"Isabelle Dez","Lille 1","Caen",1997,2012
"Isabelle Durand-Zaleski","Paris 9","Universite Paris-Saclay (ComUE)",1992,2018
"Isabelle Garcin-Marrou","Paris 3","Lyon 2",1995,2007
"Isabelle Geniaux","Universite Pierre Mendes France (Grenoble)","Lyon",1992,2017
"Isabelle Grellier","Universite Marc Bloch (Strasbourg)","Strasbourg",1988,2009
"Isabelle Grenier","Paris 7","Paris 6",1988,1999
"Isabelle Guerin-Lassous","Paris 7","Lyon, INSA",1999,2004
"Isabelle Guerrero","Montpellier 1","Aix-Marseille 2",1986,2000
"Isabelle Huault","Lyon 3","Paris 9",1994,2000
"Isabelle Jalenques","Clermont-Ferrand 1","Lyon 1",1989,1993
"Isabelle Janoueix-Lerosey","Paris 6","Paris 11",1992,2008
"Isabelle Lampre","Paris 11","Universite Paris-Saclay (ComUE)",1996,2017
"Isabelle Lebon","Paris 1","Le Havre",1994,2009
"Isabelle Lefort","Paris 1","Lyon 2",1990,2004
"Isabelle Martinez","Bordeaux 4","Toulouse 1",2001,2010
"Isabelle Navizet","Paris 6","Paris Est",2004,2017
"Isabelle Nicolai","Nice","Versailles-St Quentin en Yvelines",1995,2012
"Isabelle Renaudet","Aix-Marseille 1","Aix-Marseille",1995,2014
"Isabelle Riassetto","Strasbourg 3","Strasbourg",1999,2009
"Isabelle Ribet","Paris 11","Universite Paris-Saclay (ComUE)",2001,2018
"Isabelle Richard","Paris 7","Nantes",1996,1994
"Isabelle Royer","Paris 9","Lille 1",1999,2011
"Isabelle Sacareau","Paris 7","Bordeaux 3",1994,2016
"ISABELLE SMOLIK","Limoges","Bordeaux 2",1988,1999
"Isabelle Souchon","Dijon","Universite Paris-Saclay (ComUE)",1994,2018
"Isabelle Tardieux","Paris 6","Paris 7",1987,2012
"Isabelle Trebinjac","Lyon, INSA","Ecully, Ecole centrale de Lyon",1985,2006
"Isabelle Vallee","Tours","Paris 6",1996,2012
"ISABELLE VERNIER","Paris 6","Toulouse 3",1994,1992
"Isabelle Wolowczuk","Lille 1","Lille 2",1991,2003
"Itai Ben Yaacov","Paris 7","Lyon 1",2002,2010
"Ivan Auge","Paris, CNAM","Paris 6",1990,2004
"Ivan Boev","Nancy 2","Strasbourg",2003,2018
"Ivan Nourdin","Nancy 1","Paris 6",2004,2013
"Ivan Toulouse","Paris 1","Rennes 2",1992,2012
"Jack Remoriquet","Universite Louis Pasteur (Strasbourg)","Mulhouse",1987,2001
"Jacky Beillerot","Paris 5","Paris 10",1987,1994
"Jacky Fayolle","Paris 10","Paris, Institut d'etudes politiques",1987,2002
"Jacob Thomas Matthews","Bordeaux 3","Paris 8",2006,2018
"Jacqueline Lalouette","Paris 1","Paris 13",1994,2004
"Jacqueline Lanouziere","Paris 7","Paris 13",1988,1997
"Jacqueline Nacache","Paris 3","Paris 7",1998,2012
"Jacqueline Penjon","Paris 4","Paris 3",1994,2001
"Jacques Alexandropoulos","Paris 4","Toulouse 2",1995,2011
"Jacques Andre","Brest","Paris 7",1990,1998
"Jacques Aubry","Universite Louis Pasteur (Strasbourg)","Nantes",1985,1986
"Jacques Baille","Tours","Grenoble",1987,2010
"Jacques Barbier","Poitiers","Tours",1992,2000
"Jacques Beauvillain","Lille 2","Toulouse 3",1989,1992
"Jacques Biarne","Paris 4","Le Mans",1990,2004
"Jacques Blacher","Paris 6","Paris 13",2000,2013
"Jacques Blum","Universite Louis Pasteur (Strasbourg)","Nice",1986,2003
"Jacques Bonnet","Strasbourg","Dijon",2012,2012
"Jacques Bouchez","Lille 2","Paris 6",1993,2006
"Jacques Bouchez","Lille 2","Paris 11",1993,2006
"Jacques Boulogne","Paris 4","Lille 3",1986,2005
"Jacques Bousquet","Paris 5","Montpellier 3",1988,1986
"Jacques Boyer","Toulouse 3","Bordeaux 2",1989,1992
"Jacques Briand","Universite Pierre Mendes France (Grenoble)","Toulouse 3",1988,1992
"Jacques Buisson","Paris 2","Paris 5",1993,2004
"Jacques Chandenier","Universite Louis Pasteur (Strasbourg)","Amiens",1990,1990
"Jacques Chevalier","Lyon, INSA","Le Mans",1999,1994
"Jacques Chevallier","Montpellier 1","Amiens",1988,1988
"Jacques Chomilier","Paris 6","Paris 7",1987,2008
"Jacques de Saint-Victor","Paris 2","Paris 8",1995,2014
"Jacques Delabrouille","Paris 11","Paris 6",1998,2003
"Jacques Des Courtils","Paris 10","Bordeaux 3",1993,2002
"Jacques Domenech","Paris 1","Nice",1987,2005
"Jacques Dubois","Aix-Marseille 3","Paris 11",1993,1992
"Jacques Ducos de Lahitte","Toulouse, INPT","Toulouse 3",1987,1996
"Jacques Dupuis","Lyon 1","Clermont-Ferrand 2",1989,1989
"Jacques Durand","Toulouse 3","Toulouse 2",1994,2000
"JACQUES FOURCADE","Lyon 1","Montpellier 1",1994,1993
"JACQUES FOURCADE","Lyon 1","Montpellier 1",1994,1995
"Jacques Francois","Paris 8","Nancy 2",1986,1998
"Jacques Frey","Universite Louis Pasteur (Strasbourg)","Lyon 1",1985,1985
"Jacques Gangloff","Universite Louis Pasteur (Strasbourg)","Strasbourg 1",1999,2008
"Jacques Gaubert","Montpellier 1","Toulouse 3",1989,1989
"Jacques Ginestie","Aix-Marseille 1","Aix-Marseille",1992,2012
"Jacques Gleyse","Paris 10","Montpellier 1",1987,2000
"Jacques Grober","Toulouse 3","Dijon",1997,2013
"Jacques Guiter","Montpellier 3","Montpellier 1",2016,2000
"Jacques Guyot","Rennes 2","Paris 8",1991,2012
"Jacques Henri Abraini","Aix-Marseille 2","Caen",1991,2002
"Jacques Issorel","Montpellier 3","Perpignan",1986,1997
"Jacques Jay","Saint-Etienne","Lyon, INSA",1990,2013
"JACQUES JULLIEN","Aix-Marseille 2","Paris 6",1990,1987
"Jacques Lacoste","Toulouse 2","Nancy 1",1987,1990
"Jacques Langhade","Paris 4","Bordeaux 3",1987,1988
"Jacques Laporte","Lyon 2","Paris 7",2010,1985
"Jacques Lauga","Paris 4","Toulouse 3",2007,1999
"Jacques Le Bohec","Rennes 1","Paris 10",1994,2017
"Jacques Leblond","Lyon 1","Paris 6",1989,2001
"Jacques Lefebvre","Amiens","Nantes",1994,1991
"Jacques Lemaire","Paris 4","Clermont-Ferrand 2",1987,1986
"Jacques Lewkowicz","Clermont-Ferrand 1","Strasbourg 3",1991,2006
"Jacques Liouville","Strasbourg 3","Metz",1990,2005
"Jacques Lucas","Rennes 1","Universite Louis Pasteur (Strasbourg)",1993,1988
"Jacques Manoury","Paris 9","Le Havre",1985,2013
"Jacques Marchand","Paris 8","Rouen",1987,1990
"Jacques Mazoyer","Paris 6","Lyon 1",2010,1994
"Jacques Mercier","Montpellier 1","Paris 11",1990,1991
"Jacques Michaud","Paris 6","Montpellier 1",1990,1990
"Jacques Morel","Montpellier 1","Paris 3",1999,1999
"Jacques Morizot","Caen","Paris 8",1994,2005
"Jacques Muller","Strasbourg 1","Aix-Marseille 3",1989,1988
"Jacques Petit","Paris 2","Amiens",1993,1992
"Jacques Petit","Paris 2","Amiens",1993,1994
"Jacques Picard","Lyon 1","Paris 6",1987,1989
"Jacques Poitou","Paris 8","Lyon 2",1992,2005
"Jacques Portes","Paris 1","Paris 8",1987,2009
"Jacques Pothier","Tours","Versailles-St Quentin en Yvelines",1995,2008
"Jacques Poulet","Montpellier 3","Lyon 2",1987,1996
"Jacques Poumet","Paris 8","Lyon 2",1987,1996
"Jacques Prevotat","Paris 10","Lille 3",1994,2005
"Jacques Printems","Paris 11","Paris Est",1998,2015
"Jacques Renard","Paris 4","ENSMP",2000,2000
"Jacques Richard","Nantes","Nancy 1",1999,1997
"Jacques Rousvoal","Rouen","Mulhouse",1986,2007
"Jacques Roux","Paris 1","Universite Louis Pasteur (Strasbourg)",1986,1986
"Jacques Saury","Toulouse 3","Nantes",1990,2014
"Jacques Simon","Paris 3","Clermont-Ferrand 2",1995,1997
"Jacques Simon","Paris 3","Clermont-Ferrand 2",1995,1993
"Jacques Sys","Paris 8","Artois",1986,2000
"Jacques Thevenot","Montpellier 1","Nancy 2",1985,2002
"Jacques Thierry","Clermont-Ferrand 2","Dijon",1993,1985
"Jacques Tual","Paris 3","Cergy-Pontoise",1986,2001
"Jacques Verger","Paris 4","Paris 13",1995,2000
"Jacques Wallet","Paris 7","Rouen",1994,2010
"Jacques Walter","Metz","Universite de Lorraine",1993,2012
"Jacques-Emmanuel Bernard","Paris 4","Toulon",1996,2018
"Jacques-Olivier Boudon","Paris 4","Sorbonne universite",1991,2018
"Jacques-Olivier Fortrat","Montpellier 1","Angers",1997,2016
"Jacques-Olivier Klein","Paris 11","Universite Paris-Saclay (ComUE)",1995,2017
"Jacquy Chemouni","Paris 5","Caen",1989,2001
"Jamal Atif","Paris 11","Paris Sciences et Lettres",2004,2018
"Jamal Bouoiyour","Toulouse 1","Pau",1993,2004
"Jan Stepniewski","Rennes 1","Paris 13",1986,1997
"Janine Abecassis","Universite Louis Pasteur (Strasbourg)","Besancon",1993,1999
"Janine Menet-Genty","Nancy 2","Paris 10",1986,1998
"Jannick Ingrin","Paris 7","Toulouse 3",1985,2003
"Jaoued Bouslimi","Caen","Paris 10",1990,2005
"Javier Herrera","Paris 10","Paris 9",1990,2015
"Javier Pizarro-Cerda","Aix-Marseille 2","Paris 7",1998,2013
"Jean Andreau","Paris 4","Paris 1",1985,1993
"Jean Antoine Gili","Paris, Institut d'etudes politiques","Paris 1",1990,1994
"Jean Arnaud","Aix-Marseille 1","Nantes",2005,1992
"Jean Avenel","Paris 4","Paris Est",1994,2008
"Jean Bernard","Bordeaux 1","Paris 1",1989,1988
"Jean Bertsch","Paris 7","Paris 11",1985,2007
"Jean Boisson","Paris 6","Toulouse, INPT",2008,1993
"Jean Bouffartigue","Paris 4","Paris 10",1988,2002
"Jean Bourhis","Paris 7","Paris 11",1992,2000
"Jean Brihault","Rennes 2","Caen",1985,2005
"Jean Cartier-Bresson","Paris 13","Versailles-St Quentin en Yvelines",1996,2012
"Jean Castex","Paris 8","Versailles-St Quentin en Yvelines",1997,2012
"Jean Charles","Toulouse, INSA","Besancon",1991,1986
"Jean Claverie","Toulouse 3","Bordeaux 1",1991,1998
"Jean Colombani","Lyon 1","Lyon",1998,2019
"Jean Cousin","Paris 8","Rouen, INSA",1988,2015
"Jean Daillant","Paris 11","Paris 6",1989,2008
"Jean Daunizeau","Paris 11","Paris 6",2005,2015
"Jean de Beir","Paris 1","Universite Paris-Saclay (ComUE)",2002,2019
"Jean de Rycke","Lyon 1","Tours",1990,2007
"Jean Debrie","Le Havre","Paris 1",2001,2016
"Jean Delbe","Paris 6","Paris 11",1991,2010
"Jean Derive","Paris 3","Paris, INALCO",1986,2003
"Jean Desmazes","Poitiers","Tours",1993,2008
"Jean Dessolin","Aix-Marseille 2","Bordeaux 1",1998,2011
"Jean Duchesne","Paris 4","Angers",1993,2004
"Jean During","Universite Marc Bloch (Strasbourg)","Paris 10",1986,1994
"Jean Fabrice Lebraty","Nice","Lyon 3",1994,2015
"JEAN FLOQUET","Paris 8","Nancy 1",1989,1988
"Jean Foyer","Paris 3","Paris 2",2008,2002
"Jean Francois Doussin","Paris 7","Paris Est",1998,2013
"Jean Galanos","Nice","Toulon",1991,2013
"Jean Galy","Aix-Marseille 1","Toulouse 3",1999,2001
"Jean Garagnon","Nice","Lyon 3",1992,1988
"Jean Garapon","Paris 4","Nantes",1986,2005
"Jean Garrigues","Paris 10","Orleans",1993,2008
"Jean Gay","Saint-Etienne","Nice",1988,1997
"Jean Gayon","Paris 1","Dijon",1989,1993
"Jean Huet","Montpellier 1","Lyon 1",1991,1986
"Jean Jaubert","Paris 7","Aix-Marseille 2",2000,1987
"Jean Lacombe","Montpellier 1","Nancy 2",1988,1992
"Jean Lacroix","Paris 13","Paris 6",1990,1999
"Jean Lefebvre","Paris 8","Lille 1",2002,2000
"Jean Lefebvre","Paris 8","Lille 2",2002,2000
"Jean Lemaire","Paris 10","Paris 5",2018,1996
"Jean Leveque","Rennes 1","Nancy 1",1999,2010
"Jean Martin","Brest","Lille 3",1996,1999
"Jean Mathieu","Paris 11","Lyon 1",1985,1987
"Jean Meyer","Universite Louis Pasteur (Strasbourg)","Paris 4",1986,1985
"Jean Meyer","Universite Louis Pasteur (Strasbourg)","Paris 4",1986,1987
"JEAN MICHEL FAURE","Nantes","Rennes 1",1987,1998
"JEAN MIMRAN","Aix-Marseille 2","Montpellier 1",1990,1989
"Jean Monin","Paris 5","Saint-Etienne",1992,1996
"Jean Morel","Paris 1","Le Havre",2007,1990
"Jean Philippe","Aix-Marseille 3","Aix-Marseille",1996,2013
"Jean Pradel","Montpellier 1","Poitiers",1988,1988
"Jean Radvanyi","Paris 7","Paris, INALCO",1985,1993
"Jean Raynaud","Bordeaux 2","Lyon 1",1989,1987
"Jean Renaud","Paris 4","Vandoeuvre-les-Nancy, INPL",1986,2009
"Jean Riviere","Paris 4","Paris 9",1987,1986
"Jean Riviere","Paris 4","Bordeaux 2",1987,1988
"Jean Roudier","Aix-Marseille 2","Paris 7",1992,2003
"Jean Sacrez","Strasbourg 1","Universite Louis Pasteur (Strasbourg)",1991,1995
"Jean Samuel Bordreuil","Toulouse 2","Aix-Marseille 1",1985,2005
"Jean Schmidt","Universite Louis Pasteur (Strasbourg)","Paris 1",1995,1991
"Jean Sibilia","Strasbourg 1","Strasbourg",1991,2013
"Jean Simon","Nancy 1","Toulouse 2",1989,1989
"Jean Suzanne","Toulouse 2","Aix-Marseille 2",1989,1990
"Jean Taboury","Paris 13","Paris 11",1985,1997
"Jean Valmier","Montpellier 1","Montpellier 2",1991,1998
"Jean Vidal","Lyon 1","Paris 11",1985,1994
"Jean Vignes","Paris 10","Paris 7",1987,2013
"Jean Vivies","Toulouse 2","Aix-Marseille 1",1986,2008
"Jean-Baptiste Faure","Lyon 1","Palaiseau, Ecole polytechnique",1986,2009
"Jean-Baptiste Fournier","Paris 6","Paris 7",2014,2014
"Jean-Baptiste Legavre","Paris 1","Strasbourg 3",1993,2004
"Jean-Baptiste Michel","Chatenay-Malabry, Ecole centrale de Paris","Paris 6",2008,2007
"Jean-Baptiste Michel","Chatenay-Malabry, Ecole centrale de Paris","Paris 7",2008,2007
"Jean-Baptiste Minnaert","Paris 4","Tours",1993,2014
"Jean-Baptiste Mouret","Paris 6","Universite de Lorraine",2008,2018
"Jean-Benoit Thambo","Bordeaux 2","Bordeaux",2000,2015
"Jean-Bernard Cliquet","Paris 6","Caen",1989,2007
"Jean-Charles Billaut","Toulouse 3","Tours",1993,1999
"Jean-Charles Creput","Paris 6","Belfort-Montbeliard",1997,2013
"Jean-Charles Guery","Paris 7","Toulouse 3",1990,1999
"Jean-Charles Herbin","Poitiers","Valenciennes",1989,2018
"Jean-Charles Lievens","Aix-Marseille 2","Aix-Marseille",2000,2016
"Jean-Charles Majeste","Pau","Saint-Etienne",1998,2011
"Jean-Charles Martin","Tours","Paris 11",1993,2004
"Jean-Charles Moretti","Paris 10","Lyon 2",1989,2007
"Jean-Charles Portais","Bordeaux 2","Amiens",1993,2001
"Jean-Charles Rochet","Paris 9","Toulouse 1",1986,1990
"Jean-Christophe Bardout","Paris 4","Rennes 1",1996,2017
"Jean-Christophe Buisson","Lille 2","Toulouse 3",1990,2013
"Jean-Christophe Calvet","Toulouse 3","Toulouse, INPT",1996,2012
"Jean-Christophe Cavallin","Paris 4","Aix-Marseille",1998,2018
"Jean-Christophe Chazel","Montpellier 3","Montpellier 1",2004,2001
"Jean-Christophe Filliatre","Paris 11","Universite Paris-Saclay (ComUE)",1999,2018
"Jean-Christophe Francois","Paris 1","Paris 5",1995,2010
"Jean-Christophe Fricain","Bordeaux 2","Bordeaux",1992,2015
"Jean-Christophe Gay","Clermont-Ferrand 2","Montpellier 3",2011,2006
"Jean-Christophe Ginefri","Paris 11","Universite Paris-Saclay (ComUE)",1999,2017
"Jean-Christophe Goddard","Paris 10","Poitiers",1987,2006
"Jean-Christophe Jolivet","Paris 4","Sorbonne universite",1994,2019
"Jean-Christophe Kroll","Paris 10","Dijon",1991,2006
"Jean-Christophe Maurin","Lyon 1","Universite Louis Pasteur (Strasbourg)",2005,1998
"Jean-Christophe Merle","Paris 4","Tours",1996,2010
"Jean-Christophe Olivier","Paris 11","Poitiers",1995,2010
"Jean-Christophe Palauqui","Paris 11","Universite Paris-Saclay (ComUE)",1998,2017
"Jean-Christophe Plantier","Tours","Rouen",1999,2016
"Jean-Christophe Poutineau","Limoges","Rennes 1",1993,2009
"Jean-Christophe Sabourin","Paris 6","Rouen",1999,2012
"Jean-Christophe Sandoz","Paris 13","Paris 11",1998,2015
"Jean-Christophe Weber","Strasbourg 1","Universite Louis Pasteur (Strasbourg)",1990,1993
"Jean-Claude Andre","Lyon 1","Vandoeuvre-les-Nancy, INPL",1993,1993
"Jean-Claude Andre","Lyon 1","Toulouse 3",1993,1993
"Jean-Claude Bartier","Universite Louis Pasteur (Strasbourg)","Strasbourg 1",1986,1994
"Jean-Claude Bassano","Paris 11","Orleans",1986,1991
"Jean-Claude Blachere","Paris 4","Montpellier 3",1986,2000
"Jean-Claude Boyer","Paris 4","Paris 8",1996,1997
"Jean-Claude Carriere","Besancon","Toulouse 2",1987,2002
"Jean-Claude Cheynet","Paris 1","Paris 4",1987,2004
"Jean-Claude Cleyet-Marel","Lyon 1","Montpellier 2",1987,2008
"Jean-Claude Desport","Clermont-Ferrand 1","Limoges",1999,2014
"Jean-Claude Driant","Universite Paris-Est Creteil Val de Marne (UPEC)","Paris 12",1989,2006
"Jean-Claude Dumas","Saint-Etienne","Toulouse 3",1993,1993
"Jean-Claude Dupont","Lille 3","Amiens",1992,2018
"Jean-Claude Fondras","Universite de Marne-la-Vallee","Universite Louis Pasteur (Strasbourg)",2007,1986
"Jean-Claude Forquin","Universite Marc Bloch (Strasbourg)","Rouen",1987,1997
"Jean-Claude Gardes","Paris 8","Brest",1991,2010
"Jean-Claude Gens","Paris 4","Dijon",1999,2013
"Jean-Claude Grubar","Paris 10","Lille 3",1987,1993
"Jean-Claude Guillemot","Toulouse 3","Aix-Marseille",1995,2015
"Jean-Claude Lafon","Nantes","Nice",1993,1993
"Jean-Claude Launay","Lyon 1","Bordeaux 1",2008,1999
"Jean-Claude Le Gouic","Paris 1","Aix-Marseille 1",1992,2009
"Jean-Claude Leuliet","Nancy 1","Compiegne",1988,1998
"Jean-Claude Marie","Caen","Paris 7",1991,2012
"Jean-Claude Moreteau","Paris 11","Metz",1985,2000
"Jean-Claude Petit","Caen","Paris 7",1990,1994
"Jean-Claude Poizat","Paris, Institut d'etudes politiques","Lyon 1",2011,1986
"Jean-Claude Robert","Paris 11","Rennes 1",1985,1995
"Jean-Claude Rolland","Lyon, Ecole normale superieure","Lyon 1",2014,1992
"Jean-Claude Ruano-Borbalan","Paris 1","Paris, CNAM",1990,2017
"Jean-Claude Schaal","Universite Louis Pasteur (Strasbourg)","Strasbourg 1",1986,1990
"Jean-Claude Seguin","Bordeaux 3","Lyon 2",1990,2008
"Jean-Claude Simon","Lyon 1","Paris 6",1992,1992
"Jean-Claude Soulages","Paris 13","Lyon 2",1994,2009
"Jean-Claude Vallecalle","Aix-Marseille 1","Lyon 2",1991,2009
"Jean-Claude Verez","Paris 10","Artois",1986,2013
"Jean-Claude Waquet","Paris 1","Universite Paris-Est Creteil Val de Marne (UPEC)",1989,2001
"Jean-Claude Yon","Paris 1","Versailles-St Quentin en Yvelines",1994,2008
"Jean-Claude Zancarini","Paris 3","Lyon, Ecole normale superieure",1987,2010
"Jean-Cyrille Hierso","Toulouse 3","Dijon",1997,2012
"Jean-Daniel Lalau","Universite de Marne-la-Vallee","Amiens",2007,2015
"Jean-Daniel Lelievre","Paris 7","Paris Est",2002,2011
"Jean-Didier Urbain","Paris 5","Tours",1987,1995
"Jean-Dominique Durand","Lyon 1","Lyon 3",1999,1996
"Jean-Fabien Spitz","Paris 10","Paris 1",1997,2003
"Jean-Francois Akandji-Kombe","Amiens","Caen",1992,2009
"Jean-Francois Amadieu","Paris 9","Paris 1",1986,1999
"Jean-Francois Baillon","Paris 4","Bordeaux 3",1995,2011
"Jean-Francois Balaude","Lille 3","Paris 10",1992,2006
"Jean-Francois Baroiller","Paris 6","Montpellier 2",1988,2014
"Jean-Francois Bernard","Bordeaux 3","Paris 6",2001,2010
"Jean-Francois Bobo","Nancy 1","Toulouse 3",1991,2008
"Jean-Francois Bocquet","Clermont-Ferrand 2","Paris 13",1997,2008
"Jean-Francois Boudet","Lille 2","Bordeaux",2004,2015
"Jean-Francois Bourdet","Paris 3","Le Mans",1989,2013
"Jean-Francois Briere","Bordeaux 1","Rouen, INSA",1998,2013
"Jean-Francois Briere","Rouen","Rouen, INSA",1998,2013
"Jean-Francois Carcelen","Universite Stendhal (Grenoble)","Montpellier 3",1994,2009
"Jean-Francois Cesaro","Paris 2","Tours",2001,2010
"Jean-Francois Donati","Paris 7","Toulouse 3",1990,2003
"Jean-Francois Dubost","Paris 1","Paris Est",1992,2008
"Jean-Francois Dufreche","Paris 6","Montpellier",2001,2015
"Jean-Francois Dumont","Nancy 2","Paris 6",2004,2003
"Jean-Francois Durand","Paris 7","Montpellier 3",2007,2007
"Jean-Francois Ferveur","Paris 7","Dijon",1990,2009
"Jean-Francois Garcia","Tours","Nice",2015,1997
"Jean-Francois Georgin","Lyon, INSA","Lyon",1998,2018
"Jean-Francois Gerard","Toulouse 3","Lyon, INSA",1993,1996
"Jean-Francois Gicquel","Rennes 1","Universite de Lorraine",2000,2014
"Jean-Francois Giret","Toulouse 1","Dijon",1998,2016
"Jean-Francois Gonzalez","Lyon 1","Lyon",1994,2018
"Jean-Francois Guerin","Montpellier 1","Lyon 1",1988,2002
"Jean-Francois Halte","Besancon","Metz",1985,1998
"Jean-Francois Helard","Rennes 1,","Rennes, INSA",1992,2004
"Jean-Francois Hocquette","Paris 11","Clermont-Ferrand 2",1990,2009
"Jean-Francois Joly","Lyon 1","Lyon",1989,2019
"Jean-Francois Laslier","Paris, CNAM","Universite Paris-Saclay (ComUE)",1991,2016
"Jean-Francois Lavigne","Paris 4","Nice",2000,2009
"Jean-Francois Lemoine","Poitiers","Nantes",1994,2008
"Jean-Francois Luciani","Nice","Palaiseau, Ecole polytechnique",1997,1995
"Jean-Francois Michel","Nancy 1","Rennes 1",1988,1987
"Jean-Francois Motsch","Paris 12","Universite Paris-Est Creteil Val de Marne (UPEC)",1987,2001
"Jean-Francois Muracciole","Lille 3","Montpellier 3",1995,2013
"Jean-Francois Nicolas","Lyon 1","Paris 6",1990,1998
"Jean-Francois Perrin","Paris 3","Universite Stendhal (Grenoble)",1992,2002
"Jean-Francois Pinchon","Paris 4","Montpellier 3",1987,2012
"Jean-Francois Quint","Paris 7","Paris 13",2001,2011
"Jean-Francois Renucci","Aix-Marseille 2","Nice",1992,2000
"Jean-Francois Reynaud","Toulouse 3","Lyon 2",2011,2006
"Jean-Francois Richard","Paris 6","Paris 8",2006,1999
"Jean-Francois Rouchon","Lyon","Toulouse 3",2016,2015
"Jean-Francois Schved","Montpellier 1","Universite Louis Pasteur (Strasbourg)",1991,1988
"Jean-Francois Semblat","Palaiseau, Ecole polytechnique","Paris Est",1994,2013
"Jean-Francois Solnon","Paris 10","Besancon",1991,2000
"Jean-Francois Tetu","Lille 1","Lyon 2",2000,2000
"Jean-Francois Vergnaud","Paris 7","Montpellier 3",1987,2007
"Jean-Francois Verlhiac","Clermont-Ferrand 2","Paris 10",1995,2015
"Jean-Francois Viallard","Bordeaux 2","Bordeaux",1999,2015
"Jean-Francois Viaud","La Rochelle","Bordeaux 2",2007,2000
"Jean-Francois Viel","Paris 11","Nancy 1",1992,1995
"Jean-Francois Zorn","Paris 4","Montpellier 3",1992,2011
"Jean-Gabriel Contamin","Paris 1","Lille 2",2001,2013
"Jean-Henri Bourhis","Paris 7","Universite Louis Pasteur (Strasbourg)",1996,1993
"Jean-Hugues Dechaux","Paris, Institut d'etudes politiques","Lyon",1988,2018
"Jean-Jack Cegarra","Lyon 3","Paris 9",1987,1999
"Jean-Jacques Battin","Bordeaux 3","Bordeaux 2",2006,1988
"Jean-Jacques Boutaud","Besancon","Dijon",1988,2007
"Jean-Jacques Courtine","Paris 10","Paris 3",1989,2010
"Jean-Jacques Gabas","Paris 1","Paris 11",1988,2003
"Jean-Jacques Girardot","Lyon 2","Saint-Etienne, EMSE",1987,1997
"Jean-Jacques Guillaumin","Lyon 1","Toulouse 3",1986,1994
"Jean-Jacques Mercadier","Paris 11","Paris 7",1985,2004
"Jean-Jacques Pollet","Paris 10","Artois",1985,1998
"Jean-Jacques Rouby","Paris 5","Paris 6",1988,1998
"Jean-Jacques Terrin","Paris 8","Versailles-St Quentin en Yvelines",2008,2015
"Jean-Jacques Viala","Paris 10","Lyon 1",1998,1993
"Jean-Louis Baulieu","Tours","Universite de Tours. UFR de medecine",1988,2008
"Jean-Louis Bernard","Universite Paris-Est Creteil Val de Marne (UPEC)","Aix-Marseille 2",1995,1994
"Jean-Louis Bertrand","Paris 10","Lyon 1",2010,1994
"Jean-Louis Breteau","Paris 3","Toulouse 2",1988,2003
"Jean-Louis Chiss","Paris 8","Paris 3",1989,1999
"Jean-Louis Cocquerelle","Lille 1","Nantes",1985,1993
"Jean-Louis de Bougrenet de la Tocnaye","Toulon","Brest",1985,1992
"Jean-Louis Delarbre","Montpellier 1","Montpellier 2",1985,2014
"Jean-Louis Escudier","Perpignan","Montpellier 1",2014,2013
"Jean-Louis Flecniakoska","Paris 1","Universite Marc Bloch (Strasbourg)",1988,1996
"Jean-Louis Gallias","Toulouse 3","Cergy-Pontoise",1992,2004
