,Etablissement.de.soutenance,Géolocalisation,lat,long
102491,LYON 3,"45.747027,4.860547",45.747027,4.860547
103947,Paris INALCO,"48.8274,2.37608",48.8274,2.37608
112026,Cote d'Azur,"43.71693,7.26664",43.71693,7.26664
114868,Universite de Tours. UFR de medecine,"47.38376,0.67367",47.38376,0.67367
115421,CentraleSupelec,"48.70997,2.1531",48.70997,2.1531
116327,Grenoble Alpes,"45.19159,5.76726",45.19159,5.76726
124645,Chambery,"45.56676,5.9175",45.56676,5.9175
132166,Ecole Centrale de Lille,"50.60648,3.13757",50.60648,3.13757
140092,Universite de Paris (2019-....),"48.851906,2.340105",48.851906,2.340105
148016,"Brest, Ecole nationale superieure de techniques avancees Bretagne","48.418823,-4.472605",48.418823,-4.472605
155883,"Rennes 1,","48.11585,-1.67298",48.11585,-1.67298
156335,"Paris, Telecom ParisTech","48.7132,2.19972",48.7132,2.19972
168824,Ecole nationale des ponts et chaussees (France),"48.8411,2.58822",48.8411,2.58822
184082,Institut polytechnique de Paris,"48.71317,2.21022",48.71317,2.21022
184139,Universite Paris-Saclay (ComUE),"48.70997,2.1531",48.70997,2.1531
188503,Grenoble 2,"45.19159,5.76726",45.19159,5.76726
193655,Observatoire de Paris,"48.85464,2.33785",48.85464,2.33785
204074,Strasbourg 3,"48.57872,7.76465",48.57872,7.76465
208726,lyon 3,"45.747027,4.860547",45.747027,4.860547
212047,LYON 1,"45.77962,4.86518",45.77962,4.86518
215670,PARIS 13,"48.95793,2.34071",48.95793,2.34071
216914,Grenoble 3,"45.19159,5.76726",45.19159,5.76726
219762,"Lyon, Ecole normale superieure (sciences)","45.7337,4.83376",45.7337,4.83376
230759,ORLEANS,"47.85065,1.93397",47.85065,1.93397
234237,"Institut d'urbanisme de Paris (Creteil, Val-de-Marne)","48.78852,2.4437",48.78852,2.4437
234254,Universite de Poitiers. Departement de geographie,"46.58596,0.34601",46.58596,0.34601
240437,"Paris, Institut de physique du globe","48.851906,2.340105",48.851906,2.340105
254488,nice,"43.71693,7.26664",43.71693,7.26664
256481,"Lyon 1,","45.77962,4.86518",45.77962,4.86518
262541,Marne-la-Vallee,"48.83915,2.58747",48.83915,2.58747
267765,NICE,"43.71693,7.26664",43.71693,7.26664
